index,file_name,model_valence,model_arousal,top_profiles
63,Popular Music — Ariana Grande - Dangerous Woman (Lyrics).mp4,5.5465,5.9959,"romantic:0.758(affect=0.795,tag=0.613);energetic:0.722(affect=0.752,tag=0.605);party:0.721(affect=0.721,tag=0.720)"
64,Popular Music — Halsey - Bad at Love (Lyrics).mp4,5.6902,5.7711,"romantic:0.801(affect=0.817,tag=0.736);happy:0.724(affect=0.721,tag=0.738);energetic:0.720(affect=0.737,tag=0.652)"
65,Popular Music — Justin Bieber - Confident (Lyrics) _she said it’s her first time_.mp4,5.8538,6.4008,"energetic:0.792(affect=0.795,tag=0.782);party:0.772(affect=0.766,tag=0.795);romantic:0.768(affect=0.790,tag=0.677)"
66,Popular Music — Rihanna - Disturbia (Lyrics).mp4,6.8760,7.1821,"party:0.869(affect=0.878,tag=0.832);happy:0.861(affect=0.864,tag=0.849);energetic:0.855(affect=0.872,tag=0.785)"
67,Pure Noise Records — The Story So Far _Empty Space_ (Official Music Video) [71656667].mp4,6.7129,8.3038,"energetic:0.956(affect=0.972,tag=0.891);party:0.853(affect=0.903,tag=0.651);happy:0.780(affect=0.831,tag=0.575)"
68,Pure Noise Records — The Story So Far _Empty Space_ (Official Music Video).mp4,6.7129,8.3038,"energetic:0.956(affect=0.972,tag=0.891);party:0.853(affect=0.903,tag=0.651);happy:0.780(affect=0.831,tag=0.575)"
69,Rick Astley — Rick Astley - Never Gonna Give You Up.m4a,6.5967,6.8418,"party:0.829(affect=0.840,tag=0.786);happy:0.821(affect=0.833,tag=0.771);energetic:0.803(affect=0.845,tag=0.638)"
70,RotonMusicTV — INNA - Amazing (Official Video).m4a,7.1834,7.0987,"party:0.882(affect=0.888,tag=0.854);happy:0.857(affect=0.889,tag=0.726);energetic:0.846(affect=0.858,tag=0.798)"
71,RotonMusicTV — INNA - Amazing (Official Video).mp4,7.1847,7.1004,"party:0.882(affect=0.889,tag=0.855);happy:0.857(affect=0.889,tag=0.726);energetic:0.846(affect=0.858,tag=0.799)"
72,sad chɨll — convolk - swear to god [Official Music Video].mp4,5.6651,5.5298,"romantic:0.814(affect=0.826,tag=0.765);happy:0.700(affect=0.707,tag=0.672);energetic:0.689(affect=0.716,tag=0.582)"
73,sad chɨll — convolk x 9TAILS x guardin - whatever it takes [Official Music Video].mp4,5.1321,4.7679,"romantic:0.795(affect=0.799,tag=0.781);focus:0.717(affect=0.896,tag=0.000);dark:0.632(affect=0.648,tag=0.570)"
74,SAINt JHN — SAINt JHN - Roses (Imanbek Remix) (Official Music Video).mp4,5.8343,6.3586,"energetic:0.767(affect=0.791,tag=0.675);party:0.767(affect=0.762,tag=0.789);happy:0.763(affect=0.755,tag=0.794)"
75,"Skrillex — Skrillex, Yung Lean, & Bladee - Ceremony [Official Video].mp4",5.1300,4.6603,"romantic:0.757(affect=0.799,tag=0.586);focus:0.724(affect=0.906,tag=0.000);dark:0.641(affect=0.640,tag=0.644)"
76,SLAVA MARLOW — SLAVA MARLOW & ЭЛДЖЕЙ - ЗЛОЙ.mp4,5.7978,5.6649,"romantic:0.813(affect=0.830,tag=0.743);party:0.697(affect=0.714,tag=0.627);happy:0.696(affect=0.724,tag=0.585)"
77,"Smoke ABM — I Might Break, But I Won’t.mp4",5.5452,6.9951,"energetic:0.795(affect=0.830,tag=0.653);party:0.781(affect=0.774,tag=0.810);romantic:0.723(affect=0.732,tag=0.687)"
78,Sony Music South — Muthumani Music Video - DOROTHY _ Maestro Ilaiyaraaja _ Karthik Subbaraj.mp4,5.5812,5.5361,"romantic:0.750(affect=0.819,tag=0.471);focus:0.657(affect=0.821,tag=0.000);happy:0.628(affect=0.701,tag=0.336)"
79,spoki noki — code10 - kissXO _ lyrics video.m4a,6.1728,6.3302,"romantic:0.794(affect=0.813,tag=0.721);energetic:0.772(affect=0.796,tag=0.675);party:0.767(affect=0.781,tag=0.710)"
80,spoki noki — code10 - kissXO _ lyrics video.mp4,6.1739,6.3314,"romantic:0.794(affect=0.812,tag=0.721);energetic:0.772(affect=0.796,tag=0.675);party:0.767(affect=0.781,tag=0.710)"
81,"Sputnik Records — Sabi, MIA BOYKA - Базовый минимум (Премьера клипа).mp4",6.6248,6.4063,"happy:0.801(affect=0.820,tag=0.722);romantic:0.795(affect=0.826,tag=0.668);party:0.774(affect=0.810,tag=0.630)"
82,Superheaven — Superheaven - “Youngest Daughter” (Official Visualizer) [0613af19].mp4,4.6133,6.1532,"dark:0.769(affect=0.771,tag=0.759);energetic:0.727(affect=0.721,tag=0.748);focus:0.617(affect=0.772,tag=0.000)"
83,Superheaven — Superheaven - “Youngest Daughter” (Official Visualizer).mp4,4.6133,6.1532,"dark:0.769(affect=0.771,tag=0.759);energetic:0.727(affect=0.721,tag=0.748);focus:0.617(affect=0.772,tag=0.000)"
